{'dataset_name': 'PROTEINS', 'num_workers': 1, 'cov_weight': 100.0, 'hyperparams': {'batch_size': 64, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614145055', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 360.5387510, Train Acc: 0.6023976, Test Acc: 0.6071429, Train Cov: 3.5986512
Epoch: 002, Train Loss: 329.3724917, Train Acc: 0.6173826, Test Acc: 0.6517857, Train Cov: 3.2873499
Epoch: 003, Train Loss: 302.8324345, Train Acc: 0.6893107, Test Acc: 0.6517857, Train Cov: 3.0221975
Epoch: 004, Train Loss: 280.0159519, Train Acc: 0.6943057, Test Acc: 0.6696429, Train Cov: 2.7941856
Epoch: 005, Train Loss: 260.3370143, Train Acc: 0.6913087, Test Acc: 0.7410714, Train Cov: 2.5974810
Epoch: 006, Train Loss: 242.3673659, Train Acc: 0.7072927, Test Acc: 0.6696429, Train Cov: 2.4179273
Epoch: 007, Train Loss: 227.3908945, Train Acc: 0.6993007, Test Acc: 0.6875000, Train Cov: 2.2681923
Epoch: 008, Train Loss: 215.7023044, Train Acc: 0.6963037, Test Acc: 0.6785714, Train Cov: 2.1513600
Epoch: 009, Train Loss: 203.5235614, Train Acc: 0.7082917, Test Acc: 0.6875000, Train Cov: 2.0294909
Epoch: 010, Train Loss: 191.0125067, Train Acc: 0.7162837, Test Acc: 0.6607143, Train Cov: 1.9046011
Epoch: 011, Train Loss: 181.9733926, Train Acc: 0.7272727, Test Acc: 0.6339286, Train Cov: 1.8142344
Epoch: 012, Train Loss: 173.5834032, Train Acc: 0.7382617, Test Acc: 0.6250000, Train Cov: 1.7303876
Epoch: 013, Train Loss: 166.0446193, Train Acc: 0.7302697, Test Acc: 0.6696429, Train Cov: 1.6550444
Epoch: 014, Train Loss: 157.8941890, Train Acc: 0.7482517, Test Acc: 0.6696429, Train Cov: 1.5734727
Epoch: 015, Train Loss: 150.7892152, Train Acc: 0.7312687, Test Acc: 0.6607143, Train Cov: 1.5025352
Epoch: 016, Train Loss: 145.1915055, Train Acc: 0.7312687, Test Acc: 0.6696429, Train Cov: 1.4465519
Epoch: 017, Train Loss: 140.0075745, Train Acc: 0.7532468, Test Acc: 0.6250000, Train Cov: 1.3947349
Epoch: 018, Train Loss: 134.7387198, Train Acc: 0.7652348, Test Acc: 0.6607143, Train Cov: 1.3421104
Epoch: 019, Train Loss: 130.5818001, Train Acc: 0.7542458, Test Acc: 0.6607143, Train Cov: 1.3005430
Epoch: 020, Train Loss: 125.5381604, Train Acc: 0.7682318, Test Acc: 0.6875000, Train Cov: 1.2502366
Epoch: 021, Train Loss: 122.5386439, Train Acc: 0.7562438, Test Acc: 0.6517857, Train Cov: 1.2202117
Epoch: 022, Train Loss: 119.2052556, Train Acc: 0.7772228, Test Acc: 0.6517857, Train Cov: 1.1869315
Epoch: 023, Train Loss: 115.2435964, Train Acc: 0.7582418, Test Acc: 0.6428571, Train Cov: 1.1472635
Epoch: 024, Train Loss: 111.4299699, Train Acc: 0.7732268, Test Acc: 0.6607143, Train Cov: 1.1091552
Epoch: 025, Train Loss: 108.9185510, Train Acc: 0.7742258, Test Acc: 0.6696429, Train Cov: 1.0840824
Epoch: 026, Train Loss: 105.9040093, Train Acc: 0.7722278, Test Acc: 0.6696429, Train Cov: 1.0540663
Epoch: 027, Train Loss: 102.5801129, Train Acc: 0.7762238, Test Acc: 0.7142857, Train Cov: 1.0207758
Epoch: 028, Train Loss: 99.2817181, Train Acc: 0.7872128, Test Acc: 0.6696429, Train Cov: 0.9877324
Epoch: 029, Train Loss: 96.4152772, Train Acc: 0.7732268, Test Acc: 0.6875000, Train Cov: 0.9591780
Epoch: 030, Train Loss: 94.5276390, Train Acc: 0.8001998, Test Acc: 0.6964286, Train Cov: 0.9403069
Epoch: 031, Train Loss: 92.0659524, Train Acc: 0.7762238, Test Acc: 0.7053571, Train Cov: 0.9157768
Epoch: 032, Train Loss: 89.8130341, Train Acc: 0.7812188, Test Acc: 0.6696429, Train Cov: 0.8932300
Epoch: 033, Train Loss: 86.8584183, Train Acc: 0.7922078, Test Acc: 0.6696429, Train Cov: 0.8637366
Epoch: 034, Train Loss: 85.8159189, Train Acc: 0.7942058, Test Acc: 0.6875000, Train Cov: 0.8532605
Epoch: 035, Train Loss: 83.0890124, Train Acc: 0.8161838, Test Acc: 0.6875000, Train Cov: 0.8261016
Epoch: 036, Train Loss: 80.8895438, Train Acc: 0.7942058, Test Acc: 0.7053571, Train Cov: 0.8039677
Epoch: 037, Train Loss: 80.1905993, Train Acc: 0.7972028, Test Acc: 0.7142857, Train Cov: 0.7970967
Epoch: 038, Train Loss: 77.0254802, Train Acc: 0.7992008, Test Acc: 0.6964286, Train Cov: 0.7654355
Epoch: 039, Train Loss: 75.4377892, Train Acc: 0.8051948, Test Acc: 0.7232143, Train Cov: 0.7495846
Epoch: 040, Train Loss: 73.1755507, Train Acc: 0.8061938, Test Acc: 0.6964286, Train Cov: 0.7270309
Epoch: 041, Train Loss: 73.9818253, Train Acc: 0.8061938, Test Acc: 0.6875000, Train Cov: 0.7350870
Epoch: 042, Train Loss: 71.7615074, Train Acc: 0.8031968, Test Acc: 0.6785714, Train Cov: 0.7128668
Epoch: 043, Train Loss: 70.8989844, Train Acc: 0.8021978, Test Acc: 0.6785714, Train Cov: 0.7042984
Epoch: 044, Train Loss: 67.2997445, Train Acc: 0.8081918, Test Acc: 0.6607143, Train Cov: 0.6683192
Epoch: 045, Train Loss: 67.3574287, Train Acc: 0.8021978, Test Acc: 0.7142857, Train Cov: 0.6688640
Epoch: 046, Train Loss: 64.4582267, Train Acc: 0.8111888, Test Acc: 0.6875000, Train Cov: 0.6400059
Epoch: 047, Train Loss: 67.4141159, Train Acc: 0.8151848, Test Acc: 0.6875000, Train Cov: 0.6694000
Epoch: 048, Train Loss: 65.2219057, Train Acc: 0.8101898, Test Acc: 0.6875000, Train Cov: 0.6475974
Epoch: 049, Train Loss: 62.0012864, Train Acc: 0.8181818, Test Acc: 0.6875000, Train Cov: 0.6154286
Epoch: 050, Train Loss: 60.7062410, Train Acc: 0.8141858, Test Acc: 0.6875000, Train Cov: 0.6025271
Epoch: 051, Train Loss: 58.7927080, Train Acc: 0.8111888, Test Acc: 0.7232143, Train Cov: 0.5834895
Epoch: 052, Train Loss: 59.8887440, Train Acc: 0.8151848, Test Acc: 0.6607143, Train Cov: 0.5944328
Epoch: 053, Train Loss: 58.1684838, Train Acc: 0.8211788, Test Acc: 0.7053571, Train Cov: 0.5771140
Epoch: 054, Train Loss: 56.3517012, Train Acc: 0.8161838, Test Acc: 0.6696429, Train Cov: 0.5590206
Epoch: 055, Train Loss: 54.7304173, Train Acc: 0.8201798, Test Acc: 0.7053571, Train Cov: 0.5428873
Epoch: 056, Train Loss: 53.9027024, Train Acc: 0.8251748, Test Acc: 0.7053571, Train Cov: 0.5346243
Epoch: 057, Train Loss: 52.2760736, Train Acc: 0.8271728, Test Acc: 0.7053571, Train Cov: 0.5183964
Epoch: 058, Train Loss: 52.4536148, Train Acc: 0.8291708, Test Acc: 0.7053571, Train Cov: 0.5201466
Epoch: 059, Train Loss: 51.8919166, Train Acc: 0.8331668, Test Acc: 0.6607143, Train Cov: 0.5146261
Epoch: 060, Train Loss: 51.5129884, Train Acc: 0.8351648, Test Acc: 0.6696429, Train Cov: 0.5107080
Epoch: 061, Train Loss: 49.3953992, Train Acc: 0.8371628, Test Acc: 0.6875000, Train Cov: 0.4896683
Epoch: 062, Train Loss: 50.9625574, Train Acc: 0.8421578, Test Acc: 0.7053571, Train Cov: 0.5053872
Epoch: 063, Train Loss: 47.3413706, Train Acc: 0.8411588, Test Acc: 0.6785714, Train Cov: 0.4690602
Epoch: 064, Train Loss: 46.7177872, Train Acc: 0.8221778, Test Acc: 0.6785714, Train Cov: 0.4629687
Epoch: 065, Train Loss: 47.0963757, Train Acc: 0.8241758, Test Acc: 0.6875000, Train Cov: 0.4667106
Epoch: 066, Train Loss: 47.6481936, Train Acc: 0.8311688, Test Acc: 0.7053571, Train Cov: 0.4720328
Epoch: 067, Train Loss: 46.1444808, Train Acc: 0.8161838, Test Acc: 0.6964286, Train Cov: 0.4571705
Epoch: 068, Train Loss: 44.5182541, Train Acc: 0.8431568, Test Acc: 0.6875000, Train Cov: 0.4409541
Epoch: 069, Train Loss: 44.3671526, Train Acc: 0.8431568, Test Acc: 0.6875000, Train Cov: 0.4393737
Epoch: 070, Train Loss: 45.7759671, Train Acc: 0.8271728, Test Acc: 0.6875000, Train Cov: 0.4534908
Epoch: 071, Train Loss: 44.4616297, Train Acc: 0.8481518, Test Acc: 0.6785714, Train Cov: 0.4403507
Epoch: 072, Train Loss: 42.3581826, Train Acc: 0.8221778, Test Acc: 0.6875000, Train Cov: 0.4193501
Epoch: 073, Train Loss: 42.2536811, Train Acc: 0.8401598, Test Acc: 0.6785714, Train Cov: 0.4184439
Epoch: 074, Train Loss: 41.8053553, Train Acc: 0.8421578, Test Acc: 0.6785714, Train Cov: 0.4139037
Epoch: 075, Train Loss: 41.9955959, Train Acc: 0.8351648, Test Acc: 0.6875000, Train Cov: 0.4158025
Epoch: 076, Train Loss: 40.3148611, Train Acc: 0.8521479, Test Acc: 0.6696429, Train Cov: 0.3990792
Epoch: 077, Train Loss: 39.3080042, Train Acc: 0.8521479, Test Acc: 0.6517857, Train Cov: 0.3890069
Epoch: 078, Train Loss: 39.8872500, Train Acc: 0.8391608, Test Acc: 0.6607143, Train Cov: 0.3947931
Epoch: 079, Train Loss: 39.4718753, Train Acc: 0.8411588, Test Acc: 0.6517857, Train Cov: 0.3905737
Epoch: 080, Train Loss: 39.8578995, Train Acc: 0.8551449, Test Acc: 0.6607143, Train Cov: 0.3945699
Epoch: 081, Train Loss: 37.9015679, Train Acc: 0.8481518, Test Acc: 0.6607143, Train Cov: 0.3749161
Epoch: 082, Train Loss: 37.4889429, Train Acc: 0.8541459, Test Acc: 0.6607143, Train Cov: 0.3709134
Epoch: 083, Train Loss: 38.0799119, Train Acc: 0.8561439, Test Acc: 0.6428571, Train Cov: 0.3766661
Epoch: 084, Train Loss: 36.0439069, Train Acc: 0.8601399, Test Acc: 0.6517857, Train Cov: 0.3565905
Epoch: 085, Train Loss: 36.6916927, Train Acc: 0.8611389, Test Acc: 0.6607143, Train Cov: 0.3629585
Epoch: 086, Train Loss: 35.5604952, Train Acc: 0.8531469, Test Acc: 0.7142857, Train Cov: 0.3517435
Epoch: 087, Train Loss: 34.9724206, Train Acc: 0.8541459, Test Acc: 0.6607143, Train Cov: 0.3458531
Epoch: 088, Train Loss: 35.4150846, Train Acc: 0.8611389, Test Acc: 0.6428571, Train Cov: 0.3501793
Epoch: 089, Train Loss: 34.1526836, Train Acc: 0.8591409, Test Acc: 0.6696429, Train Cov: 0.3376980
Epoch: 090, Train Loss: 33.0438211, Train Acc: 0.8681319, Test Acc: 0.6428571, Train Cov: 0.3267078
Epoch: 091, Train Loss: 33.2208751, Train Acc: 0.8561439, Test Acc: 0.6607143, Train Cov: 0.3284577
Epoch: 092, Train Loss: 34.1656436, Train Acc: 0.8641359, Test Acc: 0.6696429, Train Cov: 0.3378002
Epoch: 093, Train Loss: 34.2128569, Train Acc: 0.8531469, Test Acc: 0.6339286, Train Cov: 0.3382565
Epoch: 094, Train Loss: 32.4127321, Train Acc: 0.8751249, Test Acc: 0.6517857, Train Cov: 0.3204571
Epoch: 095, Train Loss: 31.6687992, Train Acc: 0.8631369, Test Acc: 0.6696429, Train Cov: 0.3129339
Epoch: 096, Train Loss: 32.9078462, Train Acc: 0.8831169, Test Acc: 0.6517857, Train Cov: 0.3252527
