{'dataset_name': 'NCI1', 'seed': 789, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'LeakyR0.2', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'dcf71232dafa0fc91e94aaae768da26403a78e4e', 'time_stamp': '1614219730', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=dcf71232dafa0fc91e94aaae768da26403a78e4e
Epoch: 001, Train Loss: 0.6842400, Train Acc: 0.5033793, Test Acc: 0.4695864, Train Cov: 5.1560202
Epoch: 002, Train Loss: 0.6194837, Train Acc: 0.5436604, Test Acc: 0.5377129, Train Cov: 5.1475515
Epoch: 003, Train Loss: 0.5794866, Train Acc: 0.5409570, Test Acc: 0.5206813, Train Cov: 5.1407237
Epoch: 004, Train Loss: 0.5642552, Train Acc: 0.5717762, Test Acc: 0.6131387, Train Cov: 5.1383157
Epoch: 005, Train Loss: 0.5484373, Train Acc: 0.5701541, Test Acc: 0.5158151, Train Cov: 5.1321735
Epoch: 006, Train Loss: 0.5324605, Train Acc: 0.7101919, Test Acc: 0.7104623, Train Cov: 5.1279726
Epoch: 007, Train Loss: 0.5275038, Train Acc: 0.5706948, Test Acc: 0.5255474, Train Cov: 5.1218567
Epoch: 008, Train Loss: 0.5068816, Train Acc: 0.5804271, Test Acc: 0.5182482, Train Cov: 5.1171231
Epoch: 009, Train Loss: 0.5061557, Train Acc: 0.7402001, Test Acc: 0.7153285, Train Cov: 5.1110210
Epoch: 010, Train Loss: 0.4927191, Train Acc: 0.7488510, Test Acc: 0.7153285, Train Cov: 5.1058135
Epoch: 011, Train Loss: 0.4722488, Train Acc: 0.7283049, Test Acc: 0.6593674, Train Cov: 5.1035132
Epoch: 012, Train Loss: 0.4729269, Train Acc: 0.7018113, Test Acc: 0.6861314, Train Cov: 5.0966187
Epoch: 013, Train Loss: 0.4667850, Train Acc: 0.7055961, Test Acc: 0.6788321, Train Cov: 5.0933332
Epoch: 014, Train Loss: 0.4434875, Train Acc: 0.6864017, Test Acc: 0.6180049, Train Cov: 5.0862360
Epoch: 015, Train Loss: 0.4462137, Train Acc: 0.7696675, Test Acc: 0.6885645, Train Cov: 5.0846734
Epoch: 016, Train Loss: 0.4311937, Train Acc: 0.8167072, Test Acc: 0.7591241, Train Cov: 5.0792809
Epoch: 017, Train Loss: 0.4166253, Train Acc: 0.7623682, Test Acc: 0.7299270, Train Cov: 5.0757241
Epoch: 018, Train Loss: 0.4235412, Train Acc: 0.7331711, Test Acc: 0.6569343, Train Cov: 5.0691810
Epoch: 019, Train Loss: 0.4207610, Train Acc: 0.8267099, Test Acc: 0.7737226, Train Cov: 5.0622282
Epoch: 020, Train Loss: 0.4034828, Train Acc: 0.8110300, Test Acc: 0.7396594, Train Cov: 5.0583653
Epoch: 021, Train Loss: 0.3944143, Train Acc: 0.8037307, Test Acc: 0.7639903, Train Cov: 5.0554671
Epoch: 022, Train Loss: 0.3896516, Train Acc: 0.8021087, Test Acc: 0.7469586, Train Cov: 5.0524793
Epoch: 023, Train Loss: 0.3843154, Train Acc: 0.8012976, Test Acc: 0.7153285, Train Cov: 5.0518656
