{'dataset_name': 'NCI1', 'seed': 111, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': '0bb16684179168ffeda005d30b682e2aa720ba4e', 'time_stamp': '1614667453', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=0bb16684179168ffeda005d30b682e2aa720ba4e
Epoch: 001, Train Loss: 0.6309861, Train Acc: 0.5250068, Test Acc: 0.5231144, Train Cov: 4.3886633
Epoch: 002, Train Loss: 0.5621023, Train Acc: 0.6745066, Test Acc: 0.7104623, Train Cov: 4.3760228
Epoch: 003, Train Loss: 0.5338021, Train Acc: 0.6682887, Test Acc: 0.7007299, Train Cov: 4.3741050
Epoch: 004, Train Loss: 0.5295330, Train Acc: 0.6674777, Test Acc: 0.6642336, Train Cov: 4.3711491
Epoch: 005, Train Loss: 0.4997673, Train Acc: 0.7318194, Test Acc: 0.7420925, Train Cov: 4.3733034
Epoch: 006, Train Loss: 0.4764267, Train Acc: 0.6804542, Test Acc: 0.7372263, Train Cov: 4.3659353
Epoch: 007, Train Loss: 0.4699278, Train Acc: 0.7256015, Test Acc: 0.7323601, Train Cov: 4.3645940
Epoch: 008, Train Loss: 0.4570214, Train Acc: 0.5847526, Test Acc: 0.6131387, Train Cov: 4.3600764
Epoch: 009, Train Loss: 0.4369256, Train Acc: 0.7675047, Test Acc: 0.7615572, Train Cov: 4.3550959
Epoch: 010, Train Loss: 0.4203403, Train Acc: 0.7975128, Test Acc: 0.7761557, Train Cov: 4.3545837
Epoch: 011, Train Loss: 0.4071798, Train Acc: 0.8023790, Test Acc: 0.7907543, Train Cov: 4.3491554
Epoch: 012, Train Loss: 0.3985045, Train Acc: 0.8269803, Test Acc: 0.7664234, Train Cov: 4.3489704
Epoch: 013, Train Loss: 0.3937673, Train Acc: 0.8080562, Test Acc: 0.7688564, Train Cov: 4.3463144
Epoch: 014, Train Loss: 0.3870009, Train Acc: 0.7796702, Test Acc: 0.7883212, Train Cov: 4.3396540
