{'dataset_name': 'COLLAB', 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 32, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'd721922768aed5d7b6b7bb6b677aa8a6d46a9f73', 'time_stamp': '1610112207', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=d721922768aed5d7b6b7bb6b677aa8a6d46a9f73
Epoch: 001, Train Loss: 5.7344425, Train Acc: 0.7206667, Test Acc: 0.7240000, Train Cov: 4.7857623
Epoch: 002, Train Loss: 3.2087904, Train Acc: 0.7168889, Test Acc: 0.7080000, Train Cov: 2.5117698
Epoch: 003, Train Loss: 1.2180121, Train Acc: 0.7482222, Test Acc: 0.7460000, Train Cov: 0.5942109
Epoch: 004, Train Loss: 0.8438673, Train Acc: 0.7655556, Test Acc: 0.7520000, Train Cov: 0.2560853
Epoch: 005, Train Loss: 0.7021566, Train Acc: 0.7782222, Test Acc: 0.7560000, Train Cov: 0.1407000
Epoch: 006, Train Loss: 0.8600203, Train Acc: 0.6106667, Test Acc: 0.5900000, Train Cov: 0.3110709
Epoch: 007, Train Loss: 6.8871025, Train Acc: 0.6853333, Test Acc: 0.6700000, Train Cov: 6.0995698
Epoch: 008, Train Loss: 2.4579208, Train Acc: 0.7386667, Test Acc: 0.7000000, Train Cov: 1.8006816
Epoch: 009, Train Loss: 1.8411264, Train Acc: 0.7455556, Test Acc: 0.7300000, Train Cov: 1.2072519
Epoch: 010, Train Loss: 1.5095780, Train Acc: 0.7637778, Test Acc: 0.7500000, Train Cov: 0.9147273
Epoch: 011, Train Loss: 1.2494102, Train Acc: 0.7568889, Test Acc: 0.7560000, Train Cov: 0.6780025
Epoch: 012, Train Loss: 1.0824160, Train Acc: 0.7777778, Test Acc: 0.7720000, Train Cov: 0.5352865
Epoch: 013, Train Loss: 0.9410103, Train Acc: 0.7708889, Test Acc: 0.7720000, Train Cov: 0.4067651
Epoch: 014, Train Loss: 0.8430344, Train Acc: 0.7780000, Test Acc: 0.7660000, Train Cov: 0.3295146
Epoch: 015, Train Loss: 0.7992844, Train Acc: 0.7828889, Test Acc: 0.7720000, Train Cov: 0.2804833
Epoch: 016, Train Loss: 0.7478595, Train Acc: 0.7735556, Test Acc: 0.7680000, Train Cov: 0.2356918
Epoch: 017, Train Loss: 0.7160375, Train Acc: 0.8031111, Test Acc: 0.7860000, Train Cov: 0.2040166
Epoch: 018, Train Loss: 0.6675900, Train Acc: 0.7877778, Test Acc: 0.7900000, Train Cov: 0.1733631
Epoch: 019, Train Loss: 0.6449027, Train Acc: 0.7873333, Test Acc: 0.7820000, Train Cov: 0.1545713
Epoch: 020, Train Loss: 0.6071195, Train Acc: 0.8066667, Test Acc: 0.7840000, Train Cov: 0.1344338
Epoch: 021, Train Loss: 0.6010440, Train Acc: 0.7902222, Test Acc: 0.7740000, Train Cov: 0.1165368
Epoch: 022, Train Loss: 0.5802961, Train Acc: 0.7884444, Test Acc: 0.7780000, Train Cov: 0.0982826
Epoch: 023, Train Loss: 0.5564689, Train Acc: 0.7955556, Test Acc: 0.7880000, Train Cov: 0.0918890
Epoch: 024, Train Loss: 0.5437407, Train Acc: 0.7988889, Test Acc: 0.7700000, Train Cov: 0.0832832
Epoch: 025, Train Loss: 0.5452928, Train Acc: 0.7866667, Test Acc: 0.7640000, Train Cov: 0.0804610
Epoch: 026, Train Loss: 3.8238027, Train Acc: 0.5900000, Test Acc: 0.5880000, Train Cov: 3.2026191
Epoch: 027, Train Loss: 2.0091609, Train Acc: 0.6626667, Test Acc: 0.6480000, Train Cov: 1.2417535
Epoch: 028, Train Loss: 1.1900070, Train Acc: 0.7137778, Test Acc: 0.6940000, Train Cov: 0.5212394
Epoch: 029, Train Loss: 1.0071188, Train Acc: 0.6962222, Test Acc: 0.6600000, Train Cov: 0.3740675
Epoch: 030, Train Loss: 0.8860642, Train Acc: 0.6948889, Test Acc: 0.6760000, Train Cov: 0.2722432
Epoch: 031, Train Loss: 0.7942215, Train Acc: 0.7484444, Test Acc: 0.7160000, Train Cov: 0.2136198
Epoch: 032, Train Loss: 0.7494872, Train Acc: 0.7455556, Test Acc: 0.7380000, Train Cov: 0.1923455
Epoch: 033, Train Loss: 0.8727192, Train Acc: 0.7628889, Test Acc: 0.7600000, Train Cov: 0.2888783
Epoch: 034, Train Loss: 0.7529457, Train Acc: 0.7695556, Test Acc: 0.7600000, Train Cov: 0.2086763
Epoch: 035, Train Loss: 0.7245545, Train Acc: 0.7608889, Test Acc: 0.7500000, Train Cov: 0.1875734
Epoch: 036, Train Loss: 0.7349236, Train Acc: 0.7528889, Test Acc: 0.7380000, Train Cov: 0.1990642
Epoch: 037, Train Loss: 0.7046726, Train Acc: 0.7822222, Test Acc: 0.7660000, Train Cov: 0.1713496
Epoch: 038, Train Loss: 0.6674486, Train Acc: 0.7546667, Test Acc: 0.7500000, Train Cov: 0.1504557
Epoch: 039, Train Loss: 0.6608207, Train Acc: 0.7742222, Test Acc: 0.7480000, Train Cov: 0.1447099
Epoch: 040, Train Loss: 0.6277464, Train Acc: 0.7837778, Test Acc: 0.7500000, Train Cov: 0.1283734
Epoch: 041, Train Loss: 0.6266049, Train Acc: 0.7842222, Test Acc: 0.7680000, Train Cov: 0.1239455
Epoch: 042, Train Loss: 0.6150001, Train Acc: 0.7797778, Test Acc: 0.7620000, Train Cov: 0.1175728
Epoch: 043, Train Loss: 0.5995040, Train Acc: 0.7822222, Test Acc: 0.7580000, Train Cov: 0.1034379
Epoch: 044, Train Loss: 0.5765972, Train Acc: 0.7877778, Test Acc: 0.7740000, Train Cov: 0.0909333
Epoch: 045, Train Loss: 0.5787023, Train Acc: 0.7975556, Test Acc: 0.7640000, Train Cov: 0.0819207
Epoch: 046, Train Loss: 0.5438680, Train Acc: 0.7846667, Test Acc: 0.7720000, Train Cov: 0.0652608
Epoch: 047, Train Loss: 0.5692654, Train Acc: 0.7788889, Test Acc: 0.7620000, Train Cov: 0.0837049
Epoch: 048, Train Loss: 0.9843937, Train Acc: 0.7393333, Test Acc: 0.7240000, Train Cov: 0.3555853
Epoch: 049, Train Loss: 0.7344830, Train Acc: 0.7608889, Test Acc: 0.7360000, Train Cov: 0.1503799
Epoch: 050, Train Loss: 0.5951208, Train Acc: 0.7822222, Test Acc: 0.7640000, Train Cov: 0.0516547
Epoch: 051, Train Loss: 0.5458313, Train Acc: 0.7828889, Test Acc: 0.7600000, Train Cov: 0.0351127
Epoch: 052, Train Loss: 0.5119994, Train Acc: 0.7844444, Test Acc: 0.7600000, Train Cov: 0.0250779
Epoch: 053, Train Loss: 0.5017158, Train Acc: 0.7835556, Test Acc: 0.7700000, Train Cov: 0.0221255
Epoch: 054, Train Loss: 0.4838496, Train Acc: 0.8091111, Test Acc: 0.8000000, Train Cov: 0.0213785
Epoch: 055, Train Loss: 0.4958038, Train Acc: 0.7984444, Test Acc: 0.7760000, Train Cov: 0.0219959
