{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'LTB2', 'variants': {'BN': 'N'}}, 'commit_id': 'ea302783196709975ad28ef0895268a116034922', 'time_stamp': '1609905478', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609905478_ea30278_LTB2_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=ea302783196709975ad28ef0895268a116034922
Epoch: 001, LR: 0.000100, Loss: 0.7924228, Validation MAE: 70.7563054, Test MAE: 70.0868219, Cov: 0.4955311
Epoch: 002, 0.000100,0.6177927,74.5853840,73.9048771, 0.4830907
Epoch: 003, LR: 0.000100, Loss: 0.5788300, Validation MAE: 55.1515014, Test MAE: 54.9806967, Cov: 0.4696955
Epoch: 004, LR: 0.000100, Loss: 0.5456097, Validation MAE: 54.3208254, Test MAE: 53.1482592, Cov: 0.4547060
Epoch: 005, LR: 0.000100, Loss: 0.5188090, Validation MAE: 49.0057012, Test MAE: 47.9942077, Cov: 0.4406559
Epoch: 006, LR: 0.000100, Loss: 0.5005173, Validation MAE: 41.0150509, Test MAE: 40.4065478, Cov: 0.4313625
Epoch: 007, 0.000100,0.4876928,44.1465350,43.9268352, 0.4249914
Epoch: 008, 0.000100,0.4943862,61.2552259,60.3482206, 0.4259363
Epoch: 009, 0.000100,0.4779852,52.4102291,51.5736815, 0.4236364
Epoch: 010, LR: 0.000100, Loss: 0.4675133, Validation MAE: 40.2835060, Test MAE: 39.6629971, Cov: 0.4181380
Epoch: 011, LR: 0.000100, Loss: 0.4677550, Validation MAE: 38.1123071, Test MAE: 38.2865837, Cov: 0.4153093
Epoch: 012, LR: 0.000100, Loss: 0.4581650, Validation MAE: 34.1414936, Test MAE: 34.3096928, Cov: 0.4127570
Epoch: 013, LR: 0.000100, Loss: 0.4494403, Validation MAE: 33.2529607, Test MAE: 33.6391876, Cov: 0.4085793
Epoch: 014, 0.000100,0.4495908,43.1974823,43.9903494, 0.4071483
Epoch: 015, 0.000100,0.4431391,44.0729549,43.7375168, 0.4048218
Epoch: 016, 0.000100,0.4429386,38.0392873,38.1683547, 0.4039686
Epoch: 017, LR: 0.000100, Loss: 0.4383128, Validation MAE: 31.4805330, Test MAE: 31.5572661, Cov: 0.4011810
Epoch: 018, 0.000100,0.4344665,37.9329460,38.2009938, 0.4005394
Epoch: 019, 0.000100,0.4325970,38.2856814,38.8104438, 0.3980437
Epoch: 020, 0.000100,0.4285350,38.9074260,39.3389366, 0.3971773
Epoch: 021, LR: 0.000100, Loss: 0.4249105, Validation MAE: 30.0664143, Test MAE: 30.5040686, Cov: 0.3935616
Epoch: 022, 0.000100,0.4211867,30.6178127,30.8376809, 0.3917727
Epoch: 023, 0.000100,0.4185650,31.6491194,32.0501953, 0.3903298
Epoch: 024, LR: 0.000100, Loss: 0.4163718, Validation MAE: 29.4521768, Test MAE: 29.6338968, Cov: 0.3890737
