{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'TriEB8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': '0cc4ef7abdb83b74486e379c78a22adc6366ae48', 'time_stamp': '1608084771', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1608084771_0cc4ef7_TriEB8_ReLU_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=0cc4ef7abdb83b74486e379c78a22adc6366ae48
Epoch: 001, LR: 0.000100, Loss: 0.8872357, Validation MAE: 79.9631662, Test MAE: 78.7789735
Epoch: 002, 0.000100,0.3924455,93.8685120,93.2068789
Epoch: 003, LR: 0.000100, Loss: 0.3402302, Validation MAE: 59.7318737, Test MAE: 59.1397671
Epoch: 004, LR: 0.000100, Loss: 0.2563898, Validation MAE: 49.2637678, Test MAE: 48.5912407
Epoch: 005, LR: 0.000100, Loss: 0.2235994, Validation MAE: 45.6661353, Test MAE: 45.6696719
Epoch: 006, LR: 0.000100, Loss: 0.1942848, Validation MAE: 42.2317032, Test MAE: 42.3381628
Epoch: 007, 0.000100,0.1691552,44.6187688,44.1073297
Epoch: 008, 0.000100,0.1661268,217.2998532,218.4938567
Epoch: 009, LR: 0.000100, Loss: 0.1540924, Validation MAE: 36.6980448, Test MAE: 37.1054251
Epoch: 010, 0.000100,0.1331962,38.4306420,38.5098883
Epoch: 011, LR: 0.000100, Loss: 0.1312378, Validation MAE: 36.4060526, Test MAE: 36.1373954
Epoch: 012, LR: 0.000100, Loss: 0.1196395, Validation MAE: 32.3770828, Test MAE: 32.6618800
Epoch: 013, 0.000100,0.1144891,37.8422980,37.8795976
Epoch: 014, 0.000100,0.1047657,35.6489204,35.4475719
Epoch: 015, LR: 0.000100, Loss: 0.1061897, Validation MAE: 29.8506194, Test MAE: 30.1527142
Epoch: 016, 0.000100,0.0956066,39.7404781,40.0292347
Epoch: 017, 0.000100,0.0941862,42.5058764,42.5868306
Epoch: 018, 0.000100,0.0888375,30.6956394,30.4185721
Epoch: 019, 0.000100,0.0861849,32.2282379,32.3666998
Epoch: 020, 0.000100,0.0817766,32.6911122,32.5379545
Epoch: 021, 0.000100,0.0786478,37.1151783,37.5081652
Epoch: 022, LR: 0.000100, Loss: 0.0755902, Validation MAE: 27.1952862, Test MAE: 27.8720955
Epoch: 023, 0.000100,0.0764226,42.8591814,42.3052293
Epoch: 024, 0.000100,0.0708824,28.0329356,28.3198456
Epoch: 025, 0.000100,0.0673968,28.0844810,28.3330377
Epoch: 026, LR: 0.000100, Loss: 0.0679085, Validation MAE: 25.7533651, Test MAE: 25.8807818
Epoch: 027, LR: 0.000100, Loss: 0.0634013, Validation MAE: 23.9625638, Test MAE: 24.2879649
Epoch: 028, 0.000100,0.0629822,44.9843322,45.4989344
Epoch: 029, 0.000100,0.0608564,27.8447098,28.0219866
Epoch: 030, 0.000100,0.0576146,24.6361165,25.2709274
Epoch: 031, 0.000085,0.0513858,24.3418519,24.8874489
Epoch: 032, 0.000085,0.0505422,24.0945508,24.2921373
Epoch: 033, 0.000085,0.0506990,25.0985219,25.3391755
Epoch: 034, LR: 0.000085, Loss: 0.0469560, Validation MAE: 22.7152770, Test MAE: 23.2816898
Epoch: 035, 0.000085,0.0462287,23.3696187,24.0552150
Epoch: 036, 0.000085,0.0458226,24.3697091,24.6735371
Epoch: 037, 0.000085,0.0434594,23.8388243,24.2556272
Epoch: 038, 0.000085,0.0419781,23.7591702,24.0354608
Epoch: 039, LR: 0.000085, Loss: 0.0408218, Validation MAE: 22.2163483, Test MAE: 22.4381097
Epoch: 040, 0.000085,0.0392266,26.4681327,26.7257557
Epoch: 041, 0.000085,0.0385127,24.2096982,24.5187014
Epoch: 042, 0.000085,0.0392110,22.9623600,23.0948183
Epoch: 043, LR: 0.000085, Loss: 0.0382062, Validation MAE: 22.0274796, Test MAE: 22.1089067
Epoch: 044, 0.000085,0.0343818,23.7474571,24.0963042
Epoch: 045, LR: 0.000085, Loss: 0.0330723, Validation MAE: 21.5856212, Test MAE: 21.7054612
Epoch: 046, 0.000085,0.0331973,21.8800129,22.3200351
Epoch: 047, 0.000085,0.0316839,22.8972014,23.1052010
Epoch: 048, 0.000085,0.0316089,23.8456734,24.2655784
Epoch: 049, 0.000085,0.0318228,21.7220719,22.1604931
Epoch: 050, 0.000085,0.0291893,21.7835523,21.9646481
Epoch: 051, 0.000085,0.0280670,22.4923857,22.6363898
